Platform,Year_of_Release,Genre,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
PS2,2007.0,Action,0.27,0.21,0.0,0.07,0.56
PS2,2003.0,Role-Playing,0.15,0.12,0.26,0.04,0.56
PSP,2006.0,Sports,0.41,0.07,0.0,0.07,0.56
G,2001.0,Role-Playing,0.0,0.0,0.56,0.0,0.56
PS2,2005.0,Action,0.27,0.21,0.0,0.07,0.56
DS,2006.0,Simulation,0.5,0.01,0.0,0.04,0.56
PC,2014.0,Action,0.18,0.33,0.0,0.04,0.56
X360,2007.0,Sports,0.49,0.02,0.0,0.04,0.56
PS2,2003.0,Misc,0.27,0.21,0.0,0.07,0.56
GBA,2002.0,Misc,0.4,0.15,0.0,0.01,0.56
PS4,2015.0,Action,0.14,0.24,0.1,0.07,0.56
X360,2009.0,Shooter,0.28,0.22,0.0,0.06,0.56
GBA,2003.0,Strategy,0.4,0.15,0.0,0.01,0.56
X,2002.0,Platform,0.39,0.15,0.0,0.02,0.56
PS2,2003.0,Sports,0.27,0.21,0.0,0.07,0.56
Wii,2010.0,Puzzle,0.33,0.16,0.02,0.05,0.56
SNES,1994.0,Fighting,0.0,0.0,0.56,0.0,0.56
X,2005.0,Sports,0.52,0.02,0.0,0.02,0.56
DS,2008.0,Misc,0.0,0.0,0.56,0.0,0.56
PSV,2012.0,Action,0.21,0.17,0.09,0.08,0.56
PSP,2005.0,Puzzle,0.17,0.24,0.0,0.14,0.56
PS2,2001.0,Shooter,0.27,0.21,0.0,0.07,0.56
PSP,2011.0,Role-Playing,0.13,0.09,0.27,0.06,0.56
PS4,2016.0,Sports,0.04,0.34,0.12,0.06,0.56
X360,2008.0,Shooter,0.34,0.15,0.01,0.05,0.56
PS2,2001.0,Racing,0.27,0.21,0.0,0.07,0.56
X,2006.0,Sports,0.42,0.12,0.0,0.01,0.56
Wii,2007.0,Action,0.29,0.17,0.04,0.05,0.55
PS,1998.0,Role-Playing,0.27,0.18,0.06,0.04,0.55
PSV,2011.0,Sports,0.15,0.11,0.25,0.05,0.55
PS3,2011.0,Action,0.39,0.08,0.02,0.06,0.55
Wii,2008.0,Platform,0.49,0.02,0.0,0.04,0.55
PS,1999.0,Sports,0.31,0.21,0.0,0.04,0.55
PC,2015.0,Strategy,0.22,0.29,0.0,0.04,0.55
PS2,2001.0,Action,0.27,0.21,0.0,0.07,0.55
PS2,2005.0,Action,0.34,0.01,0.15,0.06,0.55
PS3,2010.0,Action,0.24,0.22,0.01,0.09,0.55
X,2006.0,Action,0.42,0.11,0.0,0.02,0.55
SAT,1994.0,Racing,0.0,0.0,0.55,0.0,0.55
X,2002.0,Fighting,0.4,0.13,0.0,0.02,0.55
PS,1996.0,Role-Playing,0.0,0.0,0.52,0.04,0.55
DS,2005.0,Fighting,0.0,0.0,0.55,0.0,0.55
PC,2015.0,Shooter,0.13,0.38,0.0,0.04,0.55
2600,1982.0,Sports,0.52,0.03,0.0,0.01,0.55
PS,2001.0,Shooter,0.31,0.21,0.0,0.04,0.55
PS,1999.0,Action,0.31,0.21,0.0,0.04,0.55
DS,2006.0,Simulation,0.49,0.02,0.0,0.04,0.55
PS3,2008.0,Platform,0.0,0.52,0.0,0.04,0.55
SAT,1996.0,Adventure,0.0,0.0,0.55,0.0,0.55
PS2,2001.0,Action,0.21,0.16,0.12,0.05,0.55
PS2,2001.0,Adventure,0.27,0.21,0.0,0.07,0.55
PS2,2004.0,Sports,0.0,0.0,0.55,0.0,0.55
Wii,2006.0,Sports,0.51,0.0,0.0,0.04,0.55
X,2002.0,Sports,0.34,0.18,0.0,0.02,0.55
GBA,2002.0,Platform,0.22,0.08,0.24,0.01,0.55
PS,2000.0,Fighting,0.31,0.21,0.0,0.04,0.55
PS,1996.0,Shooter,0.31,0.21,0.0,0.04,0.55
PS4,2014.0,Action,0.2,0.25,0.02,0.09,0.55
PS3,2007.0,Sports,0.5,0.01,0.0,0.05,0.55
Wii,2011.0,Platform,0.21,0.27,0.0,0.06,0.55
PS,1999.0,Strategy,0.0,0.0,0.51,0.04,0.55
X360,2011.0,Racing,0.37,0.13,0.0,0.04,0.55
DS,2007.0,Simulation,0.18,0.35,0.0,0.02,0.55
SAT,1997.0,Strategy,0.0,0.0,0.55,0.0,0.55
X,2004.0,Platform,0.4,0.13,0.0,0.02,0.55
PC,2010.0,Action,0.01,0.45,0.0,0.09,0.55
PS2,2002.0,Sports,0.0,0.0,0.55,0.0,0.55
PSP,2008.0,Platform,0.33,0.22,0.0,0.0,0.55
GBA,2001.0,Action,0.39,0.15,0.0,0.01,0.55
SAT,1998.0,Strategy,0.0,0.0,0.55,0.0,0.55
Wii,2008.0,Action,0.31,0.18,0.0,0.05,0.55
GBA,2003.0,Platform,0.39,0.15,0.0,0.01,0.55
X360,2009.0,Misc,0.15,0.34,0.0,0.06,0.55
PS,1995.0,Fighting,0.29,0.2,0.02,0.04,0.55
Wii,2010.0,Misc,0.26,0.24,0.0,0.05,0.55
X,2002.0,Shooter,0.39,0.14,0.0,0.02,0.55
PS2,2005.0,Racing,0.45,0.02,0.0,0.07,0.55
DS,2007.0,Platform,0.25,0.03,0.24,0.03,0.55
PS2,2003.0,Misc,0.27,0.21,0.0,0.07,0.55
PS,1996.0,Misc,0.3,0.21,0.0,0.04,0.55
DS,2008.0,Sports,0.5,0.0,0.0,0.04,0.55
X,2004.0,Shooter,0.4,0.12,0.0,0.02,0.55
Wii,2010.0,Sports,0.4,0.11,0.0,0.04,0.55
DS,2008.0,Puzzle,0.5,0.0,0.0,0.04,0.55
DS,2008.0,Simulation,0.26,0.23,0.0,0.06,0.55
DS,2008.0,Simulation,0.47,0.03,0.0,0.04,0.55
DS,2010.0,Simulation,0.4,0.1,0.0,0.04,0.55
PS3,2013.0,Platform,0.35,0.12,0.0,0.08,0.54
WiiU,2015.0,Platform,0.25,0.14,0.13,0.04,0.54
PS3,2012.0,Shooter,0.19,0.23,0.04,0.08,0.54
PS2,2008.0,Action,0.36,0.0,0.0,0.19,0.54
PS2,2008.0,Misc,0.0,0.06,0.0,0.48,0.54
PS3,2013.0,Racing,0.01,0.42,0.03,0.09,0.54
X,2004.0,Platform,0.4,0.12,0.0,0.02,0.54
PS3,2013.0,Sports,0.28,0.17,0.0,0.09,0.54
X,2006.0,Sports,0.16,0.35,0.0,0.04,0.54
PS2,2000.0,Sports,0.0,0.0,0.54,0.0,0.54
PS3,2009.0,Fighting,0.3,0.16,0.0,0.07,0.54
X360,2007.0,Sports,0.49,0.02,0.0,0.04,0.54
Wii,2008.0,Misc,0.5,0.0,0.0,0.04,0.54
G,1999.0,Role-Playing,0.0,0.0,0.54,0.0,0.54
XOne,2015.0,Misc,0.44,0.04,0.0,0.06,0.54
X,2003.0,Simulation,0.42,0.11,0.0,0.02,0.54
PS2,2005.0,Racing,0.27,0.21,0.0,0.07,0.54
PS2,2003.0,Strategy,0.14,0.11,0.25,0.04,0.54
PSV,2012.0,Platform,0.12,0.33,0.0,0.09,0.54
GBA,2003.0,Platform,0.39,0.14,0.0,0.01,0.54
DS,2010.0,Role-Playing,0.0,0.0,0.54,0.0,0.54
PS3,2007.0,Shooter,0.18,0.26,0.0,0.1,0.54
X360,2010.0,Action,0.3,0.19,0.0,0.05,0.54
PS2,2004.0,Racing,0.26,0.21,0.0,0.07,0.54
PSP,2006.0,Fighting,0.26,0.08,0.13,0.07,0.54
PS3,2012.0,Sports,0.24,0.21,0.0,0.08,0.54
PS3,2010.0,Action,0.11,0.04,0.36,0.02,0.54
X,2004.0,Fighting,0.43,0.1,0.0,0.02,0.54
2600,1982.0,Action,0.5,0.03,0.0,0.01,0.54
N64,1999.0,Action,0.43,0.1,0.0,0.01,0.54
N64,1998.0,Sports,0.11,0.39,0.0,0.03,0.54
Wii,2010.0,Sports,0.23,0.25,0.0,0.06,0.54
PS3,2011.0,Fighting,0.0,0.0,0.54,0.0,0.54
Wii,2008.0,Racing,0.07,0.4,0.0,0.07,0.54
PS3,2009.0,Sports,0.46,0.02,0.01,0.05,0.54
X360,2010.0,Shooter,0.22,0.23,0.03,0.05,0.54
PS,1998.0,Misc,0.09,0.06,0.35,0.04,0.54
GC,2005.0,Action,0.29,0.08,0.16,0.01,0.54
DS,2007.0,Adventure,0.26,0.04,0.22,0.03,0.54
PS2,2002.0,Role-Playing,0.0,0.0,0.54,0.0,0.54
DS,2008.0,Misc,0.24,0.23,0.0,0.06,0.54
PS,1999.0,Misc,0.0,0.0,0.5,0.04,0.54
PS3,2013.0,Role-Playing,0.25,0.07,0.17,0.05,0.54
GBA,2004.0,Misc,0.39,0.14,0.0,0.01,0.54
GC,2001.0,Sports,0.42,0.11,0.0,0.01,0.54
X,2004.0,Shooter,0.46,0.06,0.0,0.02,0.54
PS2,2004.0,Sports,0.0,0.0,0.54,0.0,0.54
PS2,2003.0,Sports,0.26,0.21,0.0,0.07,0.54
XOne,2014.0,Misc,0.36,0.13,0.0,0.05,0.54
X360,2011.0,Fighting,0.39,0.1,0.01,0.04,0.54
X360,2009.0,Role-Playing,0.29,0.16,0.04,0.05,0.54
X360,2011.0,Role-Playing,0.4,0.07,0.03,0.03,0.54
DS,2011.0,Action,0.31,0.18,0.0,0.05,0.54
PS2,2006.0,Platform,0.45,0.02,0.0,0.07,0.54
PS,2001.0,Sports,0.3,0.2,0.0,0.04,0.54
DS,2009.0,Misc,0.5,0.0,0.0,0.04,0.54
X360,2013.0,Sports,0.4,0.09,0.0,0.05,0.54
2600,1982.0,Platform,0.5,0.03,0.0,0.01,0.54
DS,2009.0,Simulation,0.5,0.0,0.0,0.04,0.54
PS2,2003.0,Platform,0.26,0.2,0.0,0.07,0.54
Wii,2010.0,Action,0.22,0.27,0.0,0.05,0.54
PS2,2003.0,Fighting,0.26,0.2,0.0,0.07,0.54
PS3,2010.0,Shooter,0.18,0.2,0.07,0.08,0.54
GC,2003.0,Sports,0.41,0.11,0.0,0.01,0.54
Wii,2010.0,Racing,0.48,0.02,0.0,0.03,0.54
PS2,2005.0,Action,0.26,0.2,0.0,0.07,0.54
Wii,2008.0,Sports,0.48,0.01,0.0,0.04,0.54
3DS,2011.0,Role-Playing,0.0,0.05,0.48,0.0,0.53
SAT,1998.0,Adventure,0.0,0.0,0.53,0.0,0.53
PS2,2001.0,Shooter,0.26,0.2,0.0,0.07,0.53
PS,1996.0,Adventure,0.07,0.05,0.38,0.03,0.53
PS2,2005.0,Sports,0.45,0.02,0.0,0.07,0.53
Wii,2011.0,Misc,0.42,0.07,0.0,0.04,0.53
PSP,2010.0,Role-Playing,0.12,0.15,0.18,0.09,0.53
PS2,2004.0,Misc,0.26,0.2,0.0,0.07,0.53
Wii,2010.0,Fighting,0.3,0.15,0.03,0.05,0.53
DS,2006.0,Role-Playing,0.35,0.01,0.14,0.03,0.53
PS2,2003.0,Action,0.26,0.2,0.0,0.07,0.53
PC,2016.0,Shooter,0.17,0.32,0.0,0.04,0.53
GBA,2004.0,Misc,0.38,0.14,0.0,0.01,0.53
PS,2000.0,Racing,0.3,0.2,0.0,0.03,0.53
PS2,2004.0,Sports,0.44,0.02,0.0,0.07,0.53
PSP,2010.0,Role-Playing,0.15,0.07,0.27,0.05,0.53
PS2,2004.0,Shooter,0.26,0.2,0.0,0.07,0.53
X,2004.0,Misc,0.4,0.11,0.0,0.02,0.53
Wii,2007.0,Action,0.25,0.23,0.0,0.06,0.53
PS2,2003.0,Sports,0.26,0.2,0.0,0.07,0.53
PS,1999.0,Platform,0.3,0.2,0.0,0.03,0.53
PS2,2008.0,Racing,0.26,0.2,0.0,0.07,0.53
X,2004.0,Sports,0.4,0.11,0.0,0.02,0.53
PS,1996.0,Misc,0.3,0.2,0.0,0.03,0.53
SNES,1993.0,Sports,0.0,0.0,0.53,0.0,0.53
DS,2009.0,Action,0.26,0.21,0.0,0.05,0.53
SNES,1994.0,Strategy,0.0,0.0,0.53,0.0,0.53
SNES,1993.0,Sports,0.0,0.0,0.53,0.0,0.53
X,2005.0,Action,0.34,0.17,0.0,0.02,0.53
X,2005.0,Racing,0.32,0.19,0.0,0.01,0.53
X,2005.0,Shooter,0.32,0.19,0.0,0.02,0.53
PS2,2004.0,Platform,0.26,0.2,0.0,0.07,0.53
X,2002.0,Action,0.31,0.19,0.0,0.03,0.53
PS2,2005.0,Sports,0.26,0.2,0.0,0.07,0.53
DS,2008.0,Role-Playing,0.0,0.13,0.38,0.02,0.53
Wii,2006.0,Racing,0.39,0.03,0.08,0.04,0.53
DS,2006.0,Adventure,0.21,0.04,0.26,0.03,0.53
PS3,2011.0,Shooter,0.24,0.2,0.01,0.09,0.53
N64,2000.0,Action,0.43,0.09,0.0,0.01,0.53
DS,2008.0,Puzzle,0.42,0.07,0.0,0.04,0.53
DS,2008.0,Role-Playing,0.04,0.01,0.48,0.0,0.53
GC,2004.0,Role-Playing,0.41,0.11,0.0,0.01,0.53
X360,2014.0,Role-Playing,0.36,0.12,0.0,0.05,0.53
PS4,2016.0,Shooter,0.21,0.23,0.0,0.09,0.53
PS,1997.0,Strategy,0.0,0.0,0.49,0.03,0.53
DS,2009.0,Puzzle,0.21,0.27,0.0,0.05,0.53
PSP,2010.0,Racing,0.11,0.26,0.02,0.14,0.53
WiiU,2015.0,Action,0.27,0.19,0.03,0.04,0.53
DS,2009.0,Fighting,0.35,0.13,0.0,0.05,0.53
DS,2007.0,Misc,0.48,0.0,0.0,0.04,0.53
PS2,2001.0,Action,0.26,0.2,0.0,0.07,0.53
DS,2010.0,Action,0.31,0.17,0.0,0.05,0.53
PSP,2007.0,Shooter,0.35,0.09,0.0,0.08,0.53
Wii,2008.0,Action,0.49,0.0,0.0,0.04,0.53
PS3,2009.0,Shooter,0.13,0.28,0.01,0.1,0.53
PS3,2008.0,Role-Playing,0.34,0.03,0.11,0.04,0.53
GC,2002.0,Action,0.41,0.11,0.0,0.01,0.53
PC,2011.0,Action,0.16,0.28,0.0,0.09,0.53
WiiU,2015.0,Action,0.28,0.21,0.0,0.05,0.53
DS,2013.0,Platform,0.21,0.27,0.0,0.04,0.53
PS2,2005.0,Racing,0.26,0.2,0.0,0.07,0.53
PS2,2005.0,Action,0.44,0.02,0.0,0.07,0.53
PS4,2016.0,Racing,0.04,0.39,0.02,0.07,0.53
SNES,1994.0,Sports,0.0,0.0,0.53,0.0,0.53
DS,2006.0,Shooter,0.38,0.01,0.1,0.04,0.53
N64,1999.0,Racing,0.49,0.03,0.0,0.0,0.53
N64,1996.0,Sports,0.49,0.03,0.0,0.0,0.53
PS,2000.0,Misc,0.0,0.0,0.49,0.03,0.53
PS2,2003.0,Shooter,0.26,0.2,0.0,0.07,0.53
GBA,2005.0,Sports,0.24,0.09,0.19,0.01,0.52
PS3,2013.0,Role-Playing,0.21,0.12,0.13,0.07,0.52
DC,1999.0,Simulation,0.0,0.0,0.52,0.0,0.52
PS,1999.0,Adventure,0.29,0.2,0.0,0.03,0.52
PS4,2015.0,Action,0.19,0.25,0.0,0.09,0.52
PS3,2011.0,Misc,0.25,0.19,0.0,0.08,0.52
PS4,2014.0,Role-Playing,0.18,0.24,0.02,0.08,0.52
PS2,2006.0,Role-Playing,0.0,0.0,0.52,0.0,0.52
PS3,2007.0,Racing,0.17,0.26,0.0,0.1,0.52
PSV,2013.0,Action,0.11,0.29,0.0,0.12,0.52
DS,2010.0,Simulation,0.49,0.0,0.0,0.03,0.52
X360,2009.0,Shooter,0.32,0.15,0.0,0.05,0.52
PS3,2006.0,Sports,0.47,0.0,0.01,0.04,0.52
PS3,2015.0,Sports,0.22,0.21,0.0,0.09,0.52
DS,2006.0,Role-Playing,0.17,0.0,0.33,0.02,0.52
Wii,2006.0,Racing,0.46,0.01,0.02,0.04,0.52
X360,2010.0,Sports,0.28,0.19,0.0,0.05,0.52
PS2,2007.0,Action,0.13,0.0,0.0,0.39,0.52
DS,2008.0,Action,0.47,0.01,0.0,0.04,0.52
PS,2001.0,Role-Playing,0.29,0.2,0.0,0.03,0.52
PSP,2009.0,Racing,0.08,0.29,0.0,0.16,0.52
Wii,2008.0,Role-Playing,0.21,0.04,0.24,0.02,0.52
PS,2001.0,Shooter,0.29,0.2,0.0,0.03,0.52
PS2,2002.0,Action,0.18,0.14,0.16,0.05,0.52
X360,2007.0,Sports,0.47,0.0,0.0,0.04,0.52
3DS,2015.0,Puzzle,0.07,0.1,0.34,0.01,0.52
PS2,2005.0,Puzzle,0.26,0.2,0.0,0.07,0.52
X360,2011.0,Misc,0.39,0.09,0.0,0.04,0.52
X,2002.0,Sports,0.39,0.11,0.0,0.02,0.52
Wii,2008.0,Simulation,0.47,0.0,0.0,0.04,0.52
PS,2000.0,Fighting,0.29,0.2,0.0,0.03,0.52
NES,1993.0,Platform,0.28,0.07,0.16,0.01,0.52
PSP,2011.0,Sports,0.12,0.25,0.02,0.13,0.52
PS3,2008.0,Sports,0.46,0.0,0.02,0.04,0.52
PS,1999.0,Action,0.29,0.2,0.0,0.03,0.52
PS3,2010.0,Misc,0.09,0.31,0.0,0.11,0.52
PS,1998.0,Fighting,0.12,0.08,0.28,0.03,0.52
PS2,2000.0,Sports,0.17,0.13,0.18,0.04,0.52
PS2,2003.0,Sports,0.0,0.0,0.52,0.0,0.52
PS2,2006.0,Action,0.25,0.19,0.02,0.06,0.52
PSP,2007.0,Action,0.22,0.15,0.04,0.1,0.52
PS2,2003.0,Shooter,0.25,0.2,0.0,0.07,0.52
X,2005.0,Shooter,0.38,0.12,0.0,0.02,0.52
GBA,2005.0,Adventure,0.37,0.14,0.0,0.01,0.52
DS,2010.0,Adventure,0.1,0.36,0.01,0.05,0.52
PSP,2006.0,Fighting,0.46,0.01,0.0,0.04,0.52
PS2,2005.0,Action,0.25,0.2,0.0,0.07,0.52
PS,1999.0,Strategy,0.1,0.07,0.31,0.03,0.52
DS,2006.0,Misc,0.0,0.0,0.52,0.0,0.52
PS2,2005.0,Sports,0.25,0.2,0.0,0.07,0.52
PC,2006.0,Simulation,0.46,0.05,0.0,0.0,0.52
DS,2008.0,Role-Playing,0.32,0.03,0.15,0.03,0.52
PS3,2008.0,Action,0.18,0.08,0.22,0.04,0.52
GBA,2002.0,Sports,0.37,0.14,0.0,0.01,0.52
GBA,2004.0,Action,0.37,0.14,0.0,0.01,0.52
PS3,2011.0,Racing,0.22,0.21,0.0,0.09,0.52
PS,1999.0,Shooter,0.17,0.11,0.2,0.03,0.52
X,2002.0,Sports,0.38,0.11,0.0,0.02,0.52
Wii,2008.0,Action,0.47,0.0,0.0,0.04,0.52
DS,2009.0,Simulation,0.26,0.2,0.0,0.05,0.52
PS,2001.0,Sports,0.29,0.19,0.0,0.03,0.52
WiiU,2012.0,Racing,0.19,0.27,0.02,0.04,0.52
PS2,2002.0,Misc,0.25,0.2,0.0,0.07,0.52
DS,2009.0,Misc,0.09,0.36,0.0,0.06,0.52
PSP,2010.0,Role-Playing,0.13,0.07,0.27,0.05,0.51
PS2,2002.0,Action,0.13,0.1,0.25,0.03,0.51
XOne,2014.0,Shooter,0.23,0.24,0.0,0.04,0.51
X360,2012.0,Action,0.32,0.15,0.0,0.04,0.51
PS3,2008.0,Action,0.21,0.21,0.0,0.09,0.51
DS,2008.0,Role-Playing,0.36,0.11,0.0,0.04,0.51
2600,1980.0,Sports,0.48,0.03,0.0,0.01,0.51
PS2,2001.0,Misc,0.25,0.2,0.0,0.07,0.51
PS,1996.0,Sports,0.08,0.05,0.35,0.03,0.51
PS2,2002.0,Racing,0.25,0.2,0.0,0.07,0.51
PS3,2007.0,Action,0.36,0.03,0.08,0.04,0.51
X360,2013.0,Fighting,0.3,0.16,0.01,0.05,0.51
PC,2012.0,Action,0.26,0.19,0.0,0.06,0.51
GC,2003.0,Sports,0.4,0.1,0.0,0.01,0.51
PSV,2013.0,Role-Playing,0.15,0.08,0.22,0.06,0.51
PS2,2003.0,Sports,0.0,0.0,0.51,0.0,0.51
PS2,2000.0,Role-Playing,0.25,0.2,0.0,0.07,0.51
PS3,2011.0,Role-Playing,0.35,0.11,0.0,0.06,0.51
PS,1997.0,Sports,0.28,0.19,0.0,0.03,0.51
DS,2008.0,Misc,0.0,0.0,0.51,0.0,0.51
PSP,2006.0,Sports,0.47,0.0,0.0,0.04,0.51
DS,2009.0,Puzzle,0.35,0.12,0.0,0.04,0.51
X360,2009.0,Simulation,0.23,0.23,0.0,0.05,0.51
PS3,2013.0,Shooter,0.28,0.15,0.0,0.08,0.51
X360,2010.0,Sports,0.47,0.0,0.0,0.04,0.51
Wii,2010.0,Adventure,0.25,0.21,0.0,0.05,0.51
PS3,2007.0,Action,0.09,0.32,0.0,0.1,0.51
GBA,2005.0,Misc,0.37,0.14,0.0,0.01,0.51
N64,1999.0,Misc,0.41,0.09,0.0,0.01,0.51
NES,1985.0,Platform,0.0,0.0,0.51,0.0,0.51
N64,1999.0,Sports,0.01,0.26,0.22,0.02,0.51
DS,2009.0,Adventure,0.12,0.33,0.0,0.06,0.51
Wii,2009.0,Sports,0.12,0.27,0.06,0.05,0.51
X,2003.0,Sports,0.44,0.04,0.0,0.02,0.51
DS,2008.0,Action,0.35,0.12,0.0,0.05,0.51
PS,1996.0,Strategy,0.0,0.0,0.48,0.03,0.51
GBA,2002.0,Platform,0.37,0.14,0.0,0.01,0.51
Wii,2009.0,Fighting,0.44,0.03,0.0,0.04,0.51
PS2,2006.0,Simulation,0.15,0.12,0.2,0.04,0.51
PSP,2009.0,Action,0.19,0.2,0.0,0.12,0.51
PC,2009.0,Role-Playing,0.0,0.46,0.0,0.05,0.51
PSP,2004.0,Action,0.18,0.0,0.3,0.02,0.51
PSP,2009.0,Fighting,0.12,0.2,0.07,0.12,0.51
PS2,2006.0,Sports,0.42,0.02,0.0,0.07,0.51
X360,2009.0,Fighting,0.36,0.08,0.02,0.04,0.51
DS,2007.0,Misc,0.47,0.0,0.0,0.04,0.51
X,2004.0,Misc,0.37,0.11,0.0,0.02,0.51
PS2,2007.0,Sports,0.25,0.19,0.0,0.06,0.51
WS,2000.0,Role-Playing,0.0,0.0,0.51,0.0,0.51
GBA,2004.0,Fighting,0.36,0.13,0.0,0.01,0.51
3DS,2015.0,Role-Playing,0.19,0.11,0.19,0.03,0.51
X,2004.0,Sports,0.37,0.11,0.0,0.02,0.51
PS2,2004.0,Action,0.25,0.19,0.0,0.06,0.51
Wii,2007.0,Misc,0.46,0.01,0.0,0.04,0.51
2600,1988.0,Shooter,0.47,0.03,0.0,0.01,0.51
PS2,2005.0,Misc,0.22,0.17,0.05,0.06,0.51
PS2,2002.0,Misc,0.25,0.19,0.0,0.06,0.51
X360,2012.0,Sports,0.29,0.18,0.0,0.04,0.51
PS,1997.0,Sports,0.28,0.19,0.0,0.03,0.51
X360,2009.0,Action,0.26,0.2,0.0,0.05,0.51
GBA,2004.0,Action,0.36,0.13,0.0,0.01,0.5
PS2,2006.0,Racing,0.42,0.02,0.0,0.07,0.5
X360,2016.0,Sports,0.1,0.37,0.0,0.03,0.5
PS2,2003.0,Platform,0.25,0.19,0.0,0.06,0.5
DS,2009.0,Action,0.33,0.13,0.0,0.05,0.5
2600,1983.0,Action,0.47,0.03,0.0,0.01,0.5
X360,2008.0,Sports,0.45,0.01,0.0,0.04,0.5
Wii,2008.0,Action,0.17,0.28,0.0,0.06,0.5
X360,2006.0,Fighting,0.44,0.03,0.0,0.04,0.5
X,2003.0,Racing,0.42,0.06,0.0,0.02,0.5
PS3,2011.0,Role-Playing,0.0,0.0,0.5,0.0,0.5
PS3,2006.0,Sports,0.31,0.12,0.0,0.07,0.5
Wii,2007.0,Action,0.43,0.03,0.0,0.04,0.5
GC,2006.0,Adventure,0.39,0.1,0.0,0.01,0.5
PS,2001.0,Misc,0.28,0.19,0.0,0.03,0.5
PS2,2001.0,Action,0.25,0.19,0.0,0.06,0.5
Wii,2010.0,Misc,0.45,0.02,0.0,0.03,0.5
DS,2007.0,Simulation,0.46,0.01,0.0,0.04,0.5
PS2,2006.0,Action,0.25,0.19,0.0,0.06,0.5
PS3,2008.0,Action,0.19,0.22,0.0,0.09,0.5
PS2,2008.0,Misc,0.25,0.19,0.0,0.06,0.5
2600,1982.0,Shooter,0.47,0.03,0.0,0.01,0.5
DS,2007.0,Puzzle,0.17,0.02,0.3,0.02,0.5
PS2,2008.0,Platform,0.25,0.19,0.0,0.06,0.5
PS2,2002.0,Misc,0.25,0.19,0.0,0.06,0.5
PSP,2007.0,Role-Playing,0.36,0.02,0.07,0.04,0.5
X360,2011.0,Action,0.1,0.34,0.0,0.07,0.5
PSP,2007.0,Racing,0.08,0.27,0.0,0.15,0.5
PSV,2012.0,Shooter,0.25,0.13,0.04,0.07,0.5
PS3,2010.0,Strategy,0.18,0.22,0.02,0.08,0.5
3DS,2012.0,Misc,0.22,0.07,0.18,0.02,0.5
PS3,2010.0,Action,0.17,0.24,0.0,0.09,0.5
Wii,2012.0,Sports,0.47,0.0,0.0,0.03,0.5
Wii,2010.0,Action,0.46,0.01,0.0,0.03,0.5
X360,2011.0,Shooter,0.25,0.2,0.0,0.05,0.5
N64,2000.0,Action,0.4,0.09,0.0,0.01,0.5
PS3,2010.0,Shooter,0.24,0.18,0.0,0.08,0.5
PS2,2002.0,Simulation,0.24,0.19,0.0,0.06,0.5
GBA,2001.0,Role-Playing,0.13,0.05,0.31,0.01,0.5
Wii,2008.0,Sports,0.45,0.01,0.0,0.04,0.5
PS2,2004.0,Strategy,0.0,0.0,0.5,0.0,0.5
PS,1995.0,Sports,0.28,0.19,0.0,0.03,0.5
X,2004.0,Fighting,0.3,0.1,0.08,0.02,0.5
X360,2012.0,Sports,0.47,0.0,0.0,0.03,0.5
PS,1997.0,Role-Playing,0.11,0.07,0.29,0.03,0.5
PS4,2016.0,Adventure,0.24,0.17,0.0,0.09,0.5
X360,2007.0,Simulation,0.46,0.0,0.0,0.04,0.5
X360,2006.0,Racing,0.42,0.04,0.0,0.04,0.5
PS2,2002.0,Shooter,0.24,0.19,0.0,0.06,0.5
PS2,2004.0,Action,0.24,0.19,0.0,0.06,0.5
PS2,2010.0,Sports,0.41,0.02,0.0,0.07,0.5
PS2,2004.0,Role-Playing,0.11,0.08,0.28,0.03,0.5
X360,2007.0,Sports,0.45,0.01,0.0,0.04,0.5
PS2,2003.0,Racing,0.24,0.19,0.0,0.06,0.5
GC,2004.0,Sports,0.38,0.1,0.0,0.01,0.5
SNES,1996.0,Sports,0.0,0.0,0.5,0.0,0.5
PS2,2005.0,Action,0.24,0.19,0.0,0.06,0.5
PS4,2016.0,Role-Playing,0.19,0.22,0.0,0.08,0.5
GBA,2001.0,Platform,0.36,0.13,0.0,0.01,0.5
PS2,2008.0,Strategy,0.0,0.0,0.5,0.0,0.5
PS,1996.0,Role-Playing,0.0,0.0,0.46,0.03,0.5
X360,2009.0,Shooter,0.23,0.21,0.01,0.05,0.5
PS2,2007.0,Action,0.41,0.02,0.0,0.07,0.5
PS2,2005.0,Action,0.41,0.01,0.0,0.07,0.5
PS3,2015.0,Action,0.0,0.0,0.5,0.0,0.5
PS2,2002.0,Shooter,0.24,0.19,0.0,0.06,0.5
PS3,2015.0,Fighting,0.17,0.13,0.14,0.06,0.5
2600,1982.0,Sports,0.46,0.03,0.0,0.01,0.5
X360,2011.0,Adventure,0.27,0.14,0.04,0.04,0.5
PS2,2007.0,Platform,0.24,0.19,0.0,0.06,0.5
2600,1981.0,Action,0.46,0.03,0.0,0.01,0.5
2600,1982.0,Action,0.46,0.03,0.0,0.01,0.5
XOne,2015.0,Action,0.29,0.16,0.0,0.04,0.5
DS,2004.0,Action,0.41,0.02,0.03,0.04,0.5
Wii,2006.0,Sports,0.46,0.0,0.0,0.04,0.5
3DS,2011.0,Racing,0.19,0.15,0.12,0.03,0.49
DS,2009.0,Puzzle,0.28,0.03,0.16,0.02,0.49
